index,model_name,accuracy,training_time,data_type
0,SGDClassifier,0.38461538461538464,0.7454876899719238,tampere
1,SVC,0.6410256410256411,24.963053703308105,tampere
2,LogisticRegression,0.6538461538461539,2.9832966327667236,tampere
3,GradientBoostingClassifier,0.6025641025641025,71.00478935241699,tampere
4,XGBClassifier,0.4935897435897436,16.3310124874115,tampere
5,MLPClassifier,0.6282051282051282,11.525933265686035,tampere
6,KNeighborsClassifier,0.5833333333333334,0.11054825782775879,tampere
7,AdaBoostClassifier,0.5641025641025641,4.871109485626221,tampere
8,RandomForestClassifier,0.38461538461538464,0.9849584102630615,tampere
9,GaussianNB,0.5833333333333334,0.07104325294494629,tampere
10,DecisionTreeClassifier,0.3717948717948718,0.35048723220825195,tampere
11,LinearDiscriminantAnalysis,0.6666666666666666,2.2002906799316406,tampere
12,QuadraticDiscriminantAnalysis,0.5833333333333334,2.340047597885132,tampere
